序号,名称,推荐别名,规划日期,省份,城市,区县,经度,纬度,海拔(米),详细地址,地点介绍
1,"成都天府国际机场","成都天府国际机场T1/T2","2026-06-05","四川省","成都市","简阳市",104.444700,30.323500,442,"四川省成都市简阳市芦葭镇空港大道","川滇自驾大环线起点/集合抵达点"
2,"泸定桥","大渡河泸定桥风景名胜区","2026-06-05","四川省","甘孜藏族自治州","泸定县",102.234800,29.914200,1332,"四川省甘孜州泸定县泸桥镇大渡河上","大渡河著名历史名胜铁索桥"
3,"泸定县","泸定县城（泸桥镇）","2026-06-05","四川省","甘孜藏族自治州","泸定县",102.235500,29.913000,1345,"四川省甘孜州泸定县城中心","06.05 住宿地，大渡河谷"
4,"红海子","康定红海子（加达通村旁）","2026-06-06","四川省","甘孜藏族自治州","康定市",101.868200,30.155800,4200,"四川省甘孜州康定市S434省道旁","S434绝美高原海子，眺望笔架山雪峰"
5,"斯丁措","康定机场旁斯丁措湖","2026-06-06","四川省","甘孜藏族自治州","康定市",101.748500,30.141500,4260,"四川省甘孜州康定市折多山顶康定机场附近","高原秘境湖泊，直面贡嘎雪山与雅拉雪山"
6,"折多山观雪台","G318折多山垭口观雪台","2026-06-06","四川省","甘孜藏族自治州","康定市",101.828600,30.038200,4298,"四川省甘孜州康定市G318国道折多山垭口","康巴第一关，海拔4298米观雪台"
7,"新都桥","新都桥镇（摄影家走廊）","2026-06-06","四川省","甘孜藏族自治州","康定市",101.523000,30.052000,3460,"四川省甘孜州康定市新都桥镇","光影交错的摄影家天堂，06.06住宿地"
8,"巴塘县","巴塘县城（夏邛镇）","2026-06-07","四川省","甘孜藏族自治州","巴塘县",99.108500,30.004000,2580,"四川省甘孜州巴塘县夏邛镇","川藏南线出川前最后一站高原绿洲，06.07住宿地"
9,"金沙江大桥(G318川藏界)","G318竹巴龙金沙江大桥","2026-06-08","四川/西藏交界","甘孜州巴塘县 / 昌都市芒康县","竹巴龙乡",98.981800,29.845800,2480,"G318国道川藏界金沙江大桥（四川巴塘竹巴龙-西藏芒康朱巴龙）","川藏分界大桥，跨越金沙江正式入藏"
10,"芒康盐井旅游景区","千年古盐田风景区","2026-06-08","西藏自治区","昌都市","芒康县",98.601500,29.043500,2350,"西藏昌都市芒康县盐井纳西民族乡","世界上唯一完整保存的人工原始晒盐古盐田"
